FECHA,de combustible líquido,de combustible gaseoso,de combustibles sólidos
1960,84.0,5.0,8.0
1961,82.0,8.0,7.0
1962,84.0,10.0,4.0
1963,81.0,12.0,5.0
1964,81.0,12.0,5.0
1965,80.0,12.0,4.0
1966,77.0,12.0,4.0
1967,76.0,13.0,4.0
1968,76.0,13.0,3.0
1969,78.0,12.0,3.0
1970,77.0,12.0,4.0
1971,78.0,12.0,3.0
1972,77.0,14.0,3.0
1973,76.0,15.0,3.0
1974,75.0,16.0,4.0
1975,73.0,17.0,4.0
1976,72.0,17.0,3.0
1977,72.0,17.0,3.0
1978,71.0,16.0,4.0
1979,71.0,16.0,3.0
1980,70.0,18.0,3.0
1981,69.0,20.0,3.0
1982,67.0,22.0,3.0
1983,65.0,25.0,2.0
1984,63.0,26.0,2.0
1985,60.0,29.0,3.0
1986,60.0,30.0,3.0
1987,58.0,32.0,3.0
1988,55.0,35.0,3.0
1989,51.0,38.0,4.0
1990,59.0,43.0,3.0
1991,58.0,45.0,3.0
1992,59.0,45.0,3.0
1993,61.0,37.0,2.0
1994,59.0,38.0,3.0
1995,55.0,47.0,3.0
1996,52.0,46.0,2.0
1997,53.0,48.0,2.0
1998,52.0,46.0,2.0
1999,54.0,50.0,2.0
2000,51.0,53.0,1.0
2001,51.0,52.0,1.0
2002,49.0,53.0,1.0
2003,46.0,54.0,2.0
2004,48.0,58.0,2.0
2005,49.0,56.0,2.0
2006,53.0,54.0,2.0
2007,48.0,53.0,2.0
2008,53.0,54.0,2.0
2009,52.0,56.0,2.0
2010,54.0,52.0,2.0
2011,49.0,52.0,3.0
2012,48.0,53.0,3.0
2013,49.0,49.0,2.0
2014,49.0,54.0,2.0
2015,49.0,53.0,2.0
2016,48.0,55.0,2.0
